,startTime,bottomTeam,bgBottom,topTeam,place,startDayTime,bgTop,gameID
0,18:00,DeNA,03,広島,横浜,2020-06-19 18:00:00,06,20202173
1,18:00,ヤクルト,02,中日,神宮,2020-06-19 18:00:00,04,20202174
2,18:00,巨人,01,阪神,東京ドーム,2020-06-19 18:00:00,05,20202175
3,18:00,ソフトバンク,12,ロッテ,PayPayドーム,2020-06-19 18:00:00,09,20202170
4,18:00,オリックス,11,楽天,京セラD大阪,2020-06-19 18:00:00,10,20202171
5,18:00,西武,07,日本ハム,メットライフ,2020-06-19 18:00:00,08,20202172
6,14:00,DeNA,03,広島,横浜,2020-06-20 14:00:00,06,20202167
7,14:00,ヤクルト,02,中日,神宮,2020-06-20 14:00:00,04,20202168
8,14:00,巨人,01,阪神,東京ドーム,2020-06-20 14:00:00,05,20202169
9,14:00,ソフトバンク,12,ロッテ,PayPayドーム,2020-06-20 14:00:00,09,20202164
10,14:00,オリックス,11,楽天,京セラD大阪,2020-06-20 14:00:00,10,20202165
11,14:00,西武,07,日本ハム,メットライフ,2020-06-20 14:00:00,08,20202166
12,13:00,ヤクルト,02,中日,神宮,2020-06-21 13:00:00,04,20202162
13,13:00,巨人,01,阪神,東京ドーム,2020-06-21 13:00:00,05,20202163
14,14:00,DeNA,03,広島,横浜,2020-06-21 14:00:00,06,20202161
15,13:00,オリックス,11,楽天,京セラD大阪,2020-06-21 13:00:00,10,20202159
16,14:00,ソフトバンク,12,ロッテ,PayPayドーム,2020-06-21 14:00:00,09,20202158
17,14:00,西武,07,日本ハム,メットライフ,2020-06-21 14:00:00,08,20202160
18,18:00,DeNA,03,中日,横浜,2020-06-23 18:00:00,04,20202155
19,18:00,ヤクルト,02,阪神,神宮,2020-06-23 18:00:00,05,20202156
20,18:00,巨人,01,広島,東京ドーム,2020-06-23 18:00:00,06,20202157
21,18:00,ロッテ,09,オリックス,ZOZOマリン,2020-06-23 18:00:00,11,20202152
22,18:00,西武,07,ソフトバンク,メットライフ,2020-06-23 18:00:00,12,20202153
23,18:00,楽天,10,日本ハム,楽天生命パーク,2020-06-23 18:00:00,08,20202154
24,18:00,DeNA,03,中日,横浜,2020-06-24 18:00:00,04,20202149
25,18:00,ヤクルト,02,阪神,神宮,2020-06-24 18:00:00,05,20202150
26,18:00,巨人,01,広島,東京ドーム,2020-06-24 18:00:00,06,20202151
27,18:00,ロッテ,09,オリックス,ZOZOマリン,2020-06-24 18:00:00,11,20202146
28,18:00,西武,07,ソフトバンク,メットライフ,2020-06-24 18:00:00,12,20202147
29,18:00,楽天,10,日本ハム,楽天生命パーク,2020-06-24 18:00:00,08,20202148
30,18:00,DeNA,03,中日,横浜,2020-06-25 18:00:00,04,20202143
31,18:00,ヤクルト,02,阪神,神宮,2020-06-25 18:00:00,05,20202144
32,18:00,巨人,01,広島,東京ドーム,2020-06-25 18:00:00,06,20202145
33,18:00,ロッテ,09,オリックス,ZOZOマリン,2020-06-25 18:00:00,11,20202140
34,18:00,西武,07,ソフトバンク,メットライフ,2020-06-25 18:00:00,12,20202141
35,18:00,楽天,10,日本ハム,楽天生命パーク,2020-06-25 18:00:00,08,20202142
36,18:00,中日,04,広島,ナゴヤドーム,2020-06-26 18:00:00,06,20202137
37,18:00,DeNA,03,阪神,横浜,2020-06-26 18:00:00,05,20202138
38,18:00,ヤクルト,02,巨人,神宮,2020-06-26 18:00:00,01,20202139
39,18:00,ロッテ,09,オリックス,ZOZOマリン,2020-06-26 18:00:00,11,20202134
40,18:00,西武,07,ソフトバンク,メットライフ,2020-06-26 18:00:00,12,20202135
41,18:00,楽天,10,日本ハム,楽天生命パーク,2020-06-26 18:00:00,08,20202136
42,14:00,中日,04,広島,ナゴヤドーム,2020-06-27 14:00:00,06,20202131
43,14:00,ヤクルト,02,巨人,神宮,2020-06-27 14:00:00,01,20202133
44,18:00,DeNA,03,阪神,横浜,2020-06-27 18:00:00,05,20202132
45,14:00,ロッテ,09,オリックス,ZOZOマリン,2020-06-27 14:00:00,11,20202128
46,14:00,西武,07,ソフトバンク,メットライフ,2020-06-27 14:00:00,12,20202129
47,14:00,楽天,10,日本ハム,楽天生命パーク,2020-06-27 14:00:00,08,20202130
48,13:00,ヤクルト,02,巨人,神宮,2020-06-28 13:00:00,01,20202127
49,14:00,中日,04,広島,ナゴヤドーム,2020-06-28 14:00:00,06,20202125
50,18:00,DeNA,03,阪神,横浜,2020-06-28 18:00:00,05,20202126
51,13:00,西武,07,ソフトバンク,メットライフ,2020-06-28 13:00:00,12,20202123
52,13:00,楽天,10,日本ハム,楽天生命パーク,2020-06-28 13:00:00,08,20202124
53,14:00,ロッテ,09,オリックス,ZOZOマリン,2020-06-28 14:00:00,11,20202122
54,18:00,中日,04,阪神,ナゴヤドーム,2020-06-30 18:00:00,05,20202119
55,18:00,巨人,01,DeNA,東京ドーム,2020-06-30 18:00:00,03,20202121
56,18:00,西武,07,オリックス,メットライフ,2020-06-30 18:00:00,11,20202116
57,18:00,楽天,10,ロッテ,楽天生命パーク,2020-06-30 18:00:00,09,20202117
58,18:00,日本ハム,08,ソフトバンク,札幌ドーム,2020-06-30 18:00:00,12,20202118
59,18:00,中日,04,阪神,ナゴヤドーム,2020-07-01 18:00:00,05,20202113
60,18:00,ヤクルト,02,広島,神宮,2020-07-01 18:00:00,06,20202114
61,18:00,巨人,01,DeNA,東京ドーム,2020-07-01 18:00:00,03,20202115
62,18:00,西武,07,オリックス,メットライフ,2020-07-01 18:00:00,11,20202110
63,18:00,楽天,10,ロッテ,楽天生命パーク,2020-07-01 18:00:00,09,20202111
64,18:00,日本ハム,08,ソフトバンク,札幌ドーム,2020-07-01 18:00:00,12,20202112
65,18:00,中日,04,阪神,ナゴヤドーム,2020-07-02 18:00:00,05,20202107
66,18:00,ヤクルト,02,広島,神宮,2020-07-02 18:00:00,06,20202108
67,18:00,巨人,01,DeNA,東京ドーム,2020-07-02 18:00:00,03,20202109
68,18:00,西武,07,オリックス,メットライフ,2020-07-02 18:00:00,11,20202104
69,18:00,楽天,10,ロッテ,楽天生命パーク,2020-07-02 18:00:00,09,20202105
70,18:00,日本ハム,08,ソフトバンク,札幌ドーム,2020-07-02 18:00:00,12,20202106
71,18:00,ヤクルト,02,DeNA,神宮,2020-07-03 18:00:00,03,20202102
72,18:00,巨人,01,中日,東京ドーム,2020-07-03 18:00:00,04,20202103
73,18:00,西武,07,オリックス,メットライフ,2020-07-03 18:00:00,11,20202098
74,18:00,楽天,10,ロッテ,楽天生命パーク,2020-07-03 18:00:00,09,20202099
75,18:00,日本ハム,08,ソフトバンク,札幌ドーム,2020-07-03 18:00:00,12,20202100
76,14:00,広島,06,阪神,マツダスタジアム,2020-07-04 14:00:00,05,20202095
77,14:00,巨人,01,中日,東京ドーム,2020-07-04 14:00:00,04,20202097
78,18:00,ヤクルト,02,DeNA,神宮,2020-07-04 18:00:00,03,20202096
79,14:00,楽天,10,ロッテ,楽天生命パーク,2020-07-04 14:00:00,09,20202093
80,14:00,日本ハム,08,ソフトバンク,札幌ドーム,2020-07-04 14:00:00,12,20202094
81,18:00,西武,07,オリックス,メットライフ,2020-07-04 18:00:00,11,20202092
82,13:30,広島,06,阪神,マツダスタジアム,2020-07-05 13:30:00,05,20202089
83,14:00,巨人,01,中日,東京ドーム,2020-07-05 14:00:00,04,20202091
84,17:00,ヤクルト,02,DeNA,神宮,2020-07-05 17:00:00,03,20202090
85,13:00,楽天,10,ロッテ,楽天生命パーク,2020-07-05 13:00:00,09,20202087
86,13:00,日本ハム,08,ソフトバンク,札幌ドーム,2020-07-05 13:00:00,12,20202088
87,18:00,西武,07,オリックス,メットライフ,2020-07-05 18:00:00,11,20202086
88,18:00,中日,04,ヤクルト,ナゴヤドーム,2020-07-07 18:00:00,02,20202085
89,18:00,ソフトバンク,12,楽天,PayPayドーム,2020-07-07 18:00:00,10,20202080
90,18:00,オリックス,11,日本ハム,京セラD大阪,2020-07-07 18:00:00,08,20202081
91,18:00,ロッテ,09,西武,ZOZOマリン,2020-07-07 18:00:00,07,20202082
92,18:00,広島,06,DeNA,マツダスタジアム,2020-07-08 18:00:00,03,20202077
93,18:00,中日,04,ヤクルト,ナゴヤドーム,2020-07-08 18:00:00,02,20202079
94,18:00,ソフトバンク,12,楽天,PayPayドーム,2020-07-08 18:00:00,10,20202074
95,18:00,オリックス,11,日本ハム,京セラD大阪,2020-07-08 18:00:00,08,20202075
96,18:00,ロッテ,09,西武,ZOZOマリン,2020-07-08 18:00:00,07,20202076
97,18:00,広島,06,DeNA,マツダスタジアム,2020-07-09 18:00:00,03,20202071
98,18:00,阪神,05,巨人,甲子園,2020-07-09 18:00:00,01,20202072
99,18:00,中日,04,ヤクルト,ナゴヤドーム,2020-07-09 18:00:00,02,20202073
100,18:00,ソフトバンク,12,楽天,PayPayドーム,2020-07-09 18:00:00,10,20202068
101,18:00,オリックス,11,日本ハム,京セラD大阪,2020-07-09 18:00:00,08,20202069
102,18:00,阪神,05,DeNA,甲子園,2020-07-10 18:00:00,03,20202065
103,18:00,中日,04,広島,ナゴヤドーム,2020-07-10 18:00:00,06,20202066
104,18:00,ソフトバンク,12,楽天,PayPayドーム,2020-07-10 18:00:00,10,20202062
105,18:00,オリックス,11,日本ハム,京セラD大阪,2020-07-10 18:00:00,08,20202063
106,18:00,ロッテ,09,西武,ZOZOマリン,2020-07-10 18:00:00,07,20202064
107,14:00,中日,04,広島,ナゴヤドーム,2020-07-11 14:00:00,06,20202060
108,18:00,阪神,05,DeNA,甲子園,2020-07-11 18:00:00,03,20202059
109,18:00,巨人,01,ヤクルト,ほっと神戸,2020-07-11 18:00:00,02,20202061
110,14:00,オリックス,11,日本ハム,京セラD大阪,2020-07-11 14:00:00,08,20202057
111,14:00,ロッテ,09,西武,ZOZOマリン,2020-07-11 14:00:00,07,20202058
112,18:00,ソフトバンク,12,楽天,PayPayドーム,2020-07-11 18:00:00,10,20202056
113,14:00,中日,04,広島,ナゴヤドーム,2020-07-12 14:00:00,06,20202054
114,18:00,阪神,05,DeNA,甲子園,2020-07-12 18:00:00,03,20202053
115,18:00,巨人,01,ヤクルト,ほっと神戸,2020-07-12 18:00:00,02,20202055
116,13:00,オリックス,11,日本ハム,京セラD大阪,2020-07-12 13:00:00,08,20202051
117,14:00,ソフトバンク,12,楽天,PayPayドーム,2020-07-12 14:00:00,10,20202050
118,14:00,ロッテ,09,西武,ZOZOマリン,2020-07-12 14:00:00,07,20202052
119,18:00,広島,06,巨人,マツダスタジアム,2020-07-14 18:00:00,01,20202047
120,18:00,阪神,05,ヤクルト,甲子園,2020-07-14 18:00:00,02,20202048
121,18:00,中日,04,DeNA,ナゴヤドーム,2020-07-14 18:00:00,03,20202049
122,18:00,オリックス,11,ソフトバンク,京セラD大阪,2020-07-14 18:00:00,12,20202044
123,18:00,日本ハム,08,ロッテ,札幌ドーム,2020-07-14 18:00:00,09,20202046
124,18:00,広島,06,巨人,マツダスタジアム,2020-07-15 18:00:00,01,20202041
125,18:00,阪神,05,ヤクルト,甲子園,2020-07-15 18:00:00,02,20202042
126,18:00,中日,04,DeNA,ナゴヤドーム,2020-07-15 18:00:00,03,20202043
127,18:00,オリックス,11,ソフトバンク,京セラD大阪,2020-07-15 18:00:00,12,20202038
128,18:00,楽天,10,西武,楽天生命パーク,2020-07-15 18:00:00,07,20202039
129,18:00,日本ハム,08,ロッテ,札幌ドーム,2020-07-15 18:00:00,09,20202040
130,18:00,広島,06,巨人,マツダスタジアム,2020-07-16 18:00:00,01,20202035
131,18:00,阪神,05,ヤクルト,甲子園,2020-07-16 18:00:00,02,20202036
132,18:00,中日,04,DeNA,ナゴヤドーム,2020-07-16 18:00:00,03,20202037
133,18:00,オリックス,11,ソフトバンク,京セラD大阪,2020-07-16 18:00:00,12,20202032
134,18:00,楽天,10,西武,楽天生命パーク,2020-07-16 18:00:00,07,20202033
135,18:00,日本ハム,08,ロッテ,札幌ドーム,2020-07-16 18:00:00,09,20202034
136,18:00,広島,06,ヤクルト,マツダスタジアム,2020-07-17 18:00:00,02,20202029
137,18:00,阪神,05,中日,甲子園,2020-07-17 18:00:00,04,20202030
